index,Place_name,Address1,Reviewscount,Total_score,Latitude,Longitude,Category
29,Lohan Chowk,"P835+J35, Ganga Path, Kathmandu 44600",5,4.6,27.7040122,85.3077448,Historical Landmark
30,???? ?????? ??????,"Layaku Marg, Kathmandu 44600",569,4.6,27.704106,85.3059307,Historical Landmark
31,Nau-Talle Durbar (Basantapur durbar),"P835+F29, ?????????? ?????, Kathmandu 44600",60,4.6,27.7038975,85.307497,Historical Landmark
32,Patan Darbar Square,Lalitpur 44600,29354,4.6,27.6726981,85.3253211,Historical Landmark
33,Singha Durbar,"M8XF+6H2, Kathmandu 44600",557,4.3,27.6980136,85.3238935,Historical Landmark
34,Bang Ganga dhara,"M8WQ+64M, BanaGanga Marga, Kathmandu 44600",1,3,27.6955882,85.3378104,Historical Landmark
35,Garden of Dreams,"P877+MR2, Tridevi Sadak, Kathmandu 44600",12181,4.2,27.7141261,85.3145041,Historical Landmark
36,Statue of Nabindraraj Joshi,"P844+CP6, Gangalal Marg, Kathmandu 44600",1,1,27.7060251,85.3067793,Historical Landmark
37,Swoyambhu Mahachaitya,"P77R+X52, BHAGANPAU 44600",17663,4.6,27.7148996,85.2903957,Historical Landmark
38,Keshar Mahal,"P877+VRC, Kathmandu 44600",104,4.1,27.7146977,85.3145067,Historical Landmark
39,Bhandarkhal Jungle,"P85R+VR4, Pashupati Nath Road, Kathmandu 44621",1414,4.2,27.7096468,85.3420728,Historical Landmark
40,Maitidevi Temple,"Maitidevi Rd, Kathmandu 44600",3591,4.6,27.705875,85.3340061,Historical Landmark
41,Foodhub by H2O Cafe N Pub - Basantapur,Kathmandu 44600,426,3.9,27.7030373,85.307656,Restaurant
42,Twenty Forty,"P82Q+GXJ, Main Road, Kathmandu 44600",1425,4.2,27.7013348,85.3398996,Restaurant
43,Red Chilly Cafe & Restaurant,"Bijulibazar, Bhaktithapa Rd, Kathmandu 44600",11,5,27.692381,85.3294127,Restaurant
44,Duckyard,"Pc complex, Kathmandu 44600",52,4.9,27.6890225,85.334322,Restaurant
45,JAR - Just Another Restaurant,"Pipal Bot Marg, Kathmandu 56900",305,4.4,27.6995461,85.3376871,Restaurant
46,Vilasha Resto & Bar,"P82Q+HVQ, Sinamangal Rd, Kathmandu 44600",26,5,27.7015372,85.3397557,Restaurant
47,MANTRA Baneshwor,Kathmandu 44600,54,4.2,27.6929055,85.3334247,Restaurant
48,Carnival Restro & Meetings,Kathmandu 44600,386,4,27.691971,85.3296442,Restaurant
49,The Grey Lounge Resturant & Bar,"Devkota Sadak, Kathmandu 44600",17,5,27.6967576,85.3378171,Restaurant
50,Starlight Cafe,"Bhaktithapa Rd, Kathmandu 44600",27,4.6,27.6922808,85.3300599,Restaurant
51,"The Wings Factory, Mid-Baneshwor","Devkota Sadak, Kathmandu 44600",556,4.3,27.6996574,85.3384498,Restaurant
52,Riva Grill House,"Shree Panchakumari Marg, Kathmandu 44600",22,4.5,27.6927042,85.3368573,Restaurant
53,Vertigo BBQ,"M8PP+R5, Kathmandu 44600",387,4.5,27.68712,85.3354764,Restaurant
54,Hunger Hub Restaurant and Bar,"Bus Lane, Kathmandu 44600",130,4.3,27.6886901,85.3325567,Restaurant
55,Aromatic Cafe and Eatery,"M8WW+V74, Prayag Marg, Kathmandu 44600",33,5,27.6971411,85.3457139,Restaurant
56,Drishya Lounge - Best Lounge in New Baneshwor,"Devkota Sadak, Kathmandu 44600",638,4.3,27.6922623,85.3364717,Restaurant
57,DARJEELING VEG MO:MO:,"M8WP+6F3, Sahabhagita Marga, Kathmandu 44600",26,4.5,27.6955228,85.3361659,Restaurant
58,Bardali Restro & Residency,"Bijulibazar, Kathmandu 44600",202,3.9,27.6924842,85.3292808,Restaurant
59,The Bakery Cafe Baneshwor,"M8QM+GQF, Chhakku Bakku Marg, Kathmandu 44600",1298,4.1,27.6888119,85.334427,Restaurant
60,Mr. Mo:Mo,"M8XQ+FXF, Basuki Marg, Kathmandu 44600",213,4.1,27.6988108,85.3397986,Restaurant
61,???? ?????? ??????,"Layaku Marg, Kathmandu 44600",569,4.6,27.704106,85.3059307,Temple
62,Jagannath Temple,"P834+VWC, Hanuman Dhoka Road, Kathmandu 44600",85,4.7,27.7046884,85.3072686,Temple
63,Mahadevsthan Temple Baneshwor,"M8WR+MHM, Kathmandu 44600",90,4.4,27.6967199,85.3414195,Temple
64,Pancha Kumari Mandir,"M8VJ+QWC, Kathmandu 44600",59,4.4,27.6944381,85.3322707,Temple
65,Maitidevi Temple,"Maitidevi Rd, Kathmandu 44600",3591,4.6,27.705875,85.3340061,Temple
66,Katyayani Temple,"M8WW+364, Katyani Marg, Kathmandu 44600",231,4.4,27.6951375,85.3455687,Temple
67,?????????? ?????? ??????,"M8RV+QQ3, Prayag Marg, Kathmandu 44600",12,4.6,27.6918851,85.344419,Temple
68,Hanumansthan Temple,"P825+9H5, Hanumansthan Marg, Kathmandu 44600",6,4.7,27.700882,85.3089732,Temple
69,Om Kareshwor Mandir,"M8VX+M4H, Kathmandu 44600",21,4.5,27.6941752,85.3478724,Temple
70,Khariko bot,"Bhiemsengola Marga 460, Kathmandu 44600",91,4.1,27.6903179,85.3426066,Temple
71,Krishna Temple,"M8V3+563, ?????? ?????, Kathmandu 44614",9,4.8,27.692891,85.3030337,Temple
72,Koteshwor Mahadevasthan,"Mahadevsthan Marg, Kathmandu 44600",1053,4.5,27.6809461,85.3412287,Temple
73,Kali Nageshwor Shiva Mandir,"M8WW+V59, Prayag Marg, Kathmandu 44600",15,4.5,27.6971586,85.3454985,Temple
74,Omkareshwor Mahadev Temple,"M8VW+PWQ Om Kareshwor, Kathmandu 44600",48,4.5,27.6941155,85.347877,Temple
75,Bhimsengola Mandir,"M8XV+VP4, Sinamangal Rd, Kathmandu 44600",20,4.6,27.6996427,85.3443312,Temple
76,??????? ????,"P82V+J2X, Surya Bikram Gyawali Marg, Kathmandu 44600",2,5,27.701604,85.3426162,Temple
77,Swoyambhu Mahachaitya,"P77R+X52, BHAGANPAU 44600",17663,4.6,27.7148996,85.2903957,Temple
78,Shani Temple,"P82Q+V8R, Baburam Acharya Marg, Kathmandu 44600",5,5,27.7022648,85.3382403,Temple
79,Ganesh Temple,"SubidhaNagar, Tinkune, New Baneshwor Rd SubidhaNagar, Kathmandu",19,4.3,27.6860647,85.3447157,Temple
